
121892,28131
120753,29187
115876,28337
126216,27691
125094,28311
131190,26926
123692,27643
117918,28003
136953,30228
121928,27848
121468,28937
121656,28799
119848,27885
127926,27049
113431,28048
121872,28077
123748,28173
128178,28047
121648,29913
117356,30189
129087,27147
121637,101160
127725,28274
115096,30480
118128,30301
129254,28447
122076,34604
107586,27843
109955,28312
115162,29517
123083,29693
134605,27076
122258,28232
121748,28344
124266,28840
113560,28181
119796,27732
123712,26952
137008,29292
125507,27446
121535,30975
115473,27749
120866,29279
112587,28466
120676,27362
125279,28204
120161,29853
126648,32974
130561,30335
121677,27468
117946,28167
121798,27422
13635664,29688
128496,29606
109492,31854
116269,28588
130024,27758
138218,26261
118514,28569
115272,27968
121314,27867
313386,109562
111860,28238
135040,28625
116614,29921
113138,29665
120350,28357
156269,27080
129040,28471
115438,30453
125215,28291
113565,27428
127231,28311
118310,29106
119072,27815
118763,27799
122996,34864
123878,29867
128004,29639
117697,27631
121490,27309
125674,30347
115193,28594
113256,28326
139723,26746
311894,27013
127952,29476
126885,31536
115199,29081
118226,29152
115060,28115
113680,27376
121695,29794
116966,77542
125864,29671
119168,27195
127544,30751
123572,27944
123638,26971
154141,36542
122102,27995
129744,27725
117065,27709
113985,27873
116820,27461
117434,29121
157694,27561
117315,28818
118351,29887
125224,27387
123746,89228
118026,26092
116858,27690
125855,28622
117585,28025
125778,27781
112870,28453
121752,29325
12133640,30259
118039,27585
119612,63782
118224,27013
119966,27797
120913,27667
120890,28385
116550,27986
120238,27716
120302,27610
118481,28134
114920,25394
123501,28825
108822,29793
129656,28442
119470,28006
119303,29373
110242,29277
112903,27366
118470,27348
118276,29230
117035,27495
116658,29635
124402,29594
113328,29878
122053,28025
119847,30691
125072,30109
113938,29833
118749,26237
117430,26985
129080,28602
124286,29629
111923,29588
122308,29125
130368,28589
136628,28707
135032,27145
123203,28344
132516,28218
119222,77040
134106,27845
135505,27855
117514,27695
122457,28337
130066,28767
136002,29487
117849,28901
120083,29713
138220,28023
120000,28833
122005,26862
127021,30488
114964,27863
123664,27237
118744,29570
114352,27341
131112,27954
147720,26318
114366,34513
120604,30797
117758,28335
118270,27519
157138,27955
117133,28859
110426,27303
124397,31884
123274,27943
120574,29002
125554,29415
124506,28687
114947,28232
120948,26707
125934,28371
124436,29025
135705,27779
110048,27202
113518,26309
125276,28453
126949,27505
126852,29608
120524,27932
127126,27845
122150,28959
116984,28064
124689,29361
121136,29137
137654,27857
128588,29443
123660,27907
115062,29844
120056,28390
109558,27224
117590,30062
135154,30180
113779,28246
122860,29387
113827,29453
114377,29846
125434,28580
128444,29036
123327,27751
120464,27611
125665,188769
244541,28518
126613,27189
129934,28407
113484,28681
123166,11349005
123870,29766
117168,27825
124418,31350
119598,27458
116869,28083
124772,27351
116202,29125
125182,28341
118784,27318
114680,28482
114039,27486
128420,357498
115880,27819
112374,27384
112765,29872
115976,29265
113393,28568
127097,28972
120804,28723
129184,27686
126866,26923
122802,29801
117488,28619
115985,29142
117496,28203
114538,27389
122148,27632
126881,28538
126021,26354
116137,27996
124335,28608
118552,30461
124984,27084
121620,29377
127573,27700
121617,28036
113272,28879
113432,31207
132177,29190
127136,27545
115430,28485
124898,30053
121167,27845
127492,30300
123938,26810
122852,28224
142806,27905
124612,27664
114909,30421
123563,29925
118448,28717
118730,28376
129328,27982
119854,29589
130662,28689
111448,28292
110870,27193
